Entity,Viscosity_at_150
AB-001,248.05320334287617
R1-002,178.63604670693888
R1-003,294.7380247464589
R1-004,223.3162597095785
R1-005,237.0932424821884
R1-006,310.4110411608683
R1-007,145.62978485143952
R1-008,200.80198054649406
R1-009,235.7073385319486
R1-010,193.19715582442993
R1-011,269.7179636054094
R1-012,93.58020996381927
R1-013,139.5520722944306
R1-014,131.07679566240992
R1-015,112.81150214136376
R1-016,131.33220873171499
R1-017,177.8639678412736
R1-018,123.04306323503508
R2-001,48.67801594015455
R2-002,58.01410440905211
R2-003,54.299303520599956
R2-004,65.66330393200937
R2-005,38.15806653456817
R2-006,58.90773949066924
R2-007,52.86440716951504
R2-008,44.086556952549444
R2-009,51.41766850817672
R2-010,50.60147701306671
R2-011,64.30739505460619
R2-012,29.371831776859658
R2-013,40.02853227180434
R2-014,51.76501515360939
R2-015,35.15295650805967
R2-016,48.63965653010643
R2-017,51.64423806480896
R2-018,40.76158556472784
R2-019,52.11107493413835
R2-020,42.7065838405674
R2-021,36.404760666028416
TGN1412,6.1
Basiliximab,8.0
Natalizumab,11.1
Tremelimumab,14.3
Ipilimumab,17.8
Atezolizumab,21.8
Ganitumab,10.1
Vesencumab,11.1
Omalizumab,30.3
Cetuximab,40.9
Bevacizumab,6.8
Golimumab,7.5
Trastuzumab,9.2
Adalimumab,11.8
Atezolizumab,21.8
Evolocumab,13
Pembrolizumab,10
R2-022,64.67920458383111
